P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
1005.6842 295.3544 15.1386 0 0
1005.0000 295.1538 15.1534 0 0
1004.0000 295.1993 15.1829 0 0
1003.0000 295.1519 15.2101 0 0
1002.0000 295.2201 15.2301 0 0
1001.0000 295.3172 15.2991 0 0
1000.0000 295.4916 15.4250 0 0
999.0000 295.5784 15.5727 0 0
998.0000 295.6616 15.7102 0 0
997.0000 295.7769 15.8195 0 0
996.0000 295.9022 15.9175 0 0
995.0000 295.9079 16.0003 0 0
994.0000 295.9872 16.0827 0 0
993.0000 296.0991 16.1520 0 0
992.0000 296.1604 16.2239 0 0
991.0000 296.2501 16.2699 0 0
990.0000 296.2528 16.3172 0 0
989.0000 296.2862 16.3783 0 0
988.0000 296.3026 16.4178 0 0
987.0000 296.3266 16.4427 0 0
986.0000 296.3297 16.4649 0 0
985.0000 296.3644 16.4602 0 0
984.0000 296.3115 16.5005 0 0
983.0000 296.2337 16.4913 0 0
982.0000 296.2886 16.4876 0 0
981.0000 296.2467 16.4704 0 0
980.0000 296.2249 16.4537 0 0
979.0000 296.1423 16.4439 0 0
978.0000 296.2023 16.4261 0 0
977.0000 296.1410 16.4124 0 0
976.0000 296.0121 16.3812 0 0
975.0000 296.0026 16.0689 0 0
974.0000 295.9954 15.6789 0 0
973.0000 295.9363 15.1997 0 0
972.0000 295.8669 14.7518 0 0
971.0000 295.8790 14.4857 0 0
970.0000 295.8023 14.3633 0 0
969.0000 295.8281 14.1774 0 0
968.0000 295.7886 14.0571 0 0
967.0000 295.8005 14.0671 0 0
966.0000 295.7799 14.1128 0 0
965.0000 295.7871 14.1580 0 0
964.0000 295.7780 14.1015 0 0
963.0000 295.7385 14.0610 0 0
962.0000 295.7025 13.8068 0 0
961.0000 295.7177 13.4052 0 0
960.0000 295.7618 13.1107 0 0
959.0000 295.6360 12.8787 0 0
958.0000 295.6803 12.7373 0 0
957.0000 295.7577 12.8740 0 0
956.0000 295.7827 13.0501 0 0
955.0000 295.7048 13.1148 0 0
954.0000 295.6246 12.9857 0 0
953.0000 295.7230 12.9798 0 0
952.0000 295.7979 13.0855 0 0
951.0000 295.6871 13.0883 0 0
950.0000 295.6077 13.4739 0 0
949.0000 295.6756 13.7224 0 0
948.0000 295.6041 13.4726 0 0
947.0000 295.5956 13.1118 0 0
946.0000 295.5474 12.9222 0 0
945.0000 295.4278 12.8587 0 0
944.0000 295.4325 12.8273 0 0
943.0000 295.4243 12.7586 0 0
942.0000 295.3711 12.7024 0 0
941.0000 295.2879 12.6620 0 0
940.0000 295.2666 12.5929 0 0
939.0000 295.2478 12.5741 0 0
938.0000 295.2228 12.4644 0 0
937.0000 295.1445 12.6738 0 0
936.0000 295.1484 12.6810 0 0
935.0000 295.0839 12.6625 0 0
934.0000 295.1318 12.7476 0 0
933.0000 295.0607 12.6007 0 0
932.0000 294.9882 12.5292 0 0
931.0000 294.9907 12.3346 0 0
930.0000 294.9300 11.9441 0 0
929.0000 294.8769 11.8526 0 0
928.0000 294.9051 11.7696 0 0
927.0000 294.7956 11.4765 0 0
926.0000 294.7725 11.1240 0 0
925.0000 294.7821 10.5648 0 0
924.0000 294.7569 9.9311 0 0
923.0000 294.7687 9.5033 0 0
922.0000 294.7655 9.3262 0 0
921.0000 294.8145 9.2240 0 0
920.0000 294.7691 9.2166 0 0
919.0000 294.8526 9.5007 0 0
918.0000 294.8378 10.2945 0 0
917.0000 294.9085 10.3252 0 0
916.0000 294.9364 10.4580 0 0
915.0000 294.9720 10.6107 0 0
914.0000 294.9312 10.6854 0 0
913.0000 294.8620 10.6948 0 0
912.0000 294.9195 10.6616 0 0
911.0000 294.8990 10.6084 0 0
910.0000 294.8935 10.6034 0 0
909.0000 294.8803 10.5436 0 0
908.0000 294.8206 10.5230 0 0
907.0000 294.7966 10.5160 0 0
906.0000 294.7435 10.5152 0 0
905.0000 294.7289 10.5314 0 0
904.0000 294.6976 10.5531 0 0
903.0000 294.6464 10.5557 0 0
902.0000 294.5804 10.6108 0 0
901.0000 294.5557 10.6772 0 0
900.0000 294.4451 10.7066 0 0
899.0000 294.4490 10.8371 0 0
898.0000 294.3692 11.0799 0 0
897.0000 294.3568 11.1618 0 0
896.0000 294.2622 11.1116 0 0
895.0000 294.2299 11.0008 0 0
894.0000 294.1645 10.9315 0 0
893.0000 294.1118 10.8585 0 0
892.0000 294.0302 10.7134 0 0
891.0000 293.9173 10.5667 0 0
890.0000 293.9153 10.4867 0 0
889.0000 293.9311 10.4760 0 0
888.0000 293.7699 10.3792 0 0
887.0000 293.7281 10.2572 0 0
886.0000 293.6825 10.1364 0 0
885.0000 293.4676 10.0791 0 0
