P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
1005.6842 294.9900 15.7359 0 0
1005.0000 294.9930 15.7495 0 0
1004.0000 295.0100 15.7814 0 0
1003.0000 295.0200 15.8066 0 0
1002.0000 295.0292 15.8312 0 0
1001.0000 295.0997 15.9148 0 0
1000.0000 295.2286 16.0552 0 0
999.0000 295.3838 16.2225 0 0
998.0000 295.5229 16.3754 0 0
997.0000 295.6320 16.5000 0 0
996.0000 295.7197 16.6040 0 0
995.0000 295.7971 16.6983 0 0
994.0000 295.8725 16.7910 0 0
993.0000 295.9400 16.8763 0 0
992.0000 295.9958 16.9500 0 0
991.0000 296.0400 17.0123 0 0
990.0000 296.0700 17.0601 0 0
989.0000 296.1200 17.1287 0 0
988.0000 296.1433 17.1700 0 0
987.0000 296.1622 17.2069 0 0
986.0000 296.1700 17.2324 0 0
985.0000 296.1602 17.2398 0 0
984.0000 296.1775 17.2752 0 0
983.0000 296.1500 17.2643 0 0
982.0000 296.1433 17.2749 0 0
981.0000 296.1053 17.2531 0 0
980.0000 296.0770 17.2415 0 0
979.0000 296.0442 17.2251 0 0
978.0000 296.0212 17.2189 0 0
977.0000 295.9918 17.2061 0 0
976.0000 295.9390 17.1656 0 0
975.0000 295.9001 16.8218 0 0
974.0000 295.8581 16.3935 0 0
973.0000 295.8374 15.8492 0 0
972.0000 295.8000 15.3496 0 0
971.0000 295.7900 15.0549 0 0
970.0000 295.7800 14.9142 0 0
969.0000 295.7872 14.7147 0 0
968.0000 295.7820 14.5797 0 0
967.0000 295.7867 14.5954 0 0
966.0000 295.7900 14.6493 0 0
965.0000 295.7880 14.7093 0 0
964.0000 295.7813 14.6510 0 0
963.0000 295.7751 14.5987 0 0
962.0000 295.7783 14.3124 0 0
961.0000 295.7775 13.8675 0 0
960.0000 295.7721 13.5392 0 0
959.0000 295.7983 13.2718 0 0
958.0000 295.8037 13.1167 0 0
957.0000 295.8300 13.2817 0 0
956.0000 295.8500 13.4761 0 0
955.0000 295.8500 13.5460 0 0
954.0000 295.8500 13.4026 0 0
953.0000 295.8611 13.4041 0 0
952.0000 295.8593 13.5238 0 0
951.0000 295.8526 13.5326 0 0
950.0000 295.8412 13.9651 0 0
949.0000 295.8362 14.2497 0 0
948.0000 295.7958 13.9745 0 0
947.0000 295.7677 13.5724 0 0
946.0000 295.7412 13.3691 0 0
945.0000 295.7107 13.2917 0 0
944.0000 295.6910 13.2579 0 0
943.0000 295.6614 13.1954 0 0
942.0000 295.6399 13.1384 0 0
941.0000 295.6125 13.0871 0 0
